Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR35354185,11/9/2025 21:45,11/9/2025 19:54,17665136,5052228896,17665136,286,1423,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR035/35354/SRR35354185/SRR35354185.lite.1,SRX30449020,06_LSL01,RAD-Seq,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X,SRP619236,PRJNA1327467,,1327467,SRS26483934,SAMN51283013,simple,71773,Siphateles bicolor,CARR_LSLK_2006_001_H,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA DAVIS,SRA2220106,,public,73F8D6DD9DCFC9BC36B5852D49F73D80,877AAE96355C6D5A56AC07BEED9EA38C
SRR35354183,11/9/2025 21:45,11/9/2025 19:53,10166722,2907682492,10166722,286,819,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR035/35354/SRR35354183/SRR35354183.lite.1,SRX30449022,06_LSL02,RAD-Seq,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X,SRP619236,PRJNA1327467,,1327467,SRS26483935,SAMN51283014,simple,71773,Siphateles bicolor,CARR_LSLK_2006_002_H,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA DAVIS,SRA2220106,,public,26CD57D83A1FB496801DD2834879B05B,AA4FFAE430B88BABCC9BE0A50130DD70
SRR35354182,11/9/2025 21:44,11/9/2025 19:54,11320206,3237578916,11320206,286,917,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR035/35354/SRR35354182/SRR35354182.lite.1,SRX30449023,06_LSL03,RAD-Seq,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X,SRP619236,PRJNA1327467,,1327467,SRS26483937,SAMN51283015,simple,71773,Siphateles bicolor,CARR_LSLK_2006_003_H,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA DAVIS,SRA2220106,,public,1911ABD88D3AA6B538B273AEC4A52CDA,E98DC67067E0E476D84005C74DB0896B
SRR35354638,11/9/2025 21:45,11/9/2025 19:53,2040477,583576422,2040477,286,164,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR035/35354/SRR35354638/SRR35354638.lite.1,SRX30449024,06_LSL04,RAD-Seq,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X,SRP619236,PRJNA1327467,,1327467,SRS26483938,SAMN51283016,simple,71773,Siphateles bicolor,CARR_LSLK_2006_004_H,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA DAVIS,SRA2220106,,public,27D980CE17C275D2ADD6AC249687C10C,381B0980A076D37918AE2C36290720E0
SRR35354637,11/9/2025 21:45,11/9/2025 19:54,6532460,1868283560,6532460,286,526,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR035/35354/SRR35354637/SRR35354637.lite.1,SRX30449165,06_LSL05,RAD-Seq,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X,SRP619236,PRJNA1327467,,1327467,SRS26484079,SAMN51283017,simple,71773,Siphateles bicolor,CARR_LSLK_2006_005_H,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA DAVIS,SRA2220106,,public,1BBD8AD9E1E873AA16096BA2C2795A32,DF290549527B22AE936873C5D9C95645
SRR35354636,11/9/2025 21:44,11/9/2025 19:54,11689161,3343100046,11689161,286,941,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR035/35354/SRR35354636/SRR35354636.lite.1,SRX30449166,06_LSL06,RAD-Seq,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X,SRP619236,PRJNA1327467,,1327467,SRS26484080,SAMN51283018,simple,71773,Siphateles bicolor,CARR_LSLK_2006_006_H,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA DAVIS,SRA2220106,,public,9EE9A102212CF8905BF5FAC2AA85AB0B,3B4F0E633E50C158C946973D8B88F26D
SRR35354635,11/9/2025 21:44,11/9/2025 19:53,1880513,537826718,1880513,286,151,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR035/35354/SRR35354635/SRR35354635.lite.1,SRX30449167,06_LSL07,RAD-Seq,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X,SRP619236,PRJNA1327467,,1327467,SRS26484081,SAMN51283019,simple,71773,Siphateles bicolor,CARR_LSLK_2006_007_H,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA DAVIS,SRA2220106,,public,E9B53BF2BE96E73823CF88B00F23DA38,5537E1ED7BED62B130A71DEF0D3B4369
SRR35354634,11/9/2025 21:45,11/9/2025 19:53,1146246,327826356,1146246,286,92,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR035/35354/SRR35354634/SRR35354634.lite.1,SRX30449168,06_LSL08,RAD-Seq,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X,SRP619236,PRJNA1327467,,1327467,SRS26484082,SAMN51283020,simple,71773,Siphateles bicolor,CARR_LSLK_2006_008_H,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA DAVIS,SRA2220106,,public,EF46A7BF80AE0387CB3D167ABA109391,2108407BD4CEC5679741409AA8065A80
SRR35354633,11/9/2025 21:44,11/9/2025 19:53,1712622,489809892,1712622,286,137,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR035/35354/SRR35354633/SRR35354633.lite.1,SRX30449169,06_LSL09,RAD-Seq,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X,SRP619236,PRJNA1327467,,1327467,SRS26484083,SAMN51283021,simple,71773,Siphateles bicolor,CARR_LSLK_2006_009_H,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA DAVIS,SRA2220106,,public,93085DC926E39A580A85D2A30BD7421A,4978008E7904EAF51C748D9D3D85CB73
SRR35354632,11/9/2025 21:45,11/9/2025 19:53,3063525,876168150,3063525,286,247,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR035/35354/SRR35354632/SRR35354632.lite.1,SRX30449170,06_LSL10,RAD-Seq,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X,SRP619236,PRJNA1327467,,1327467,SRS26484084,SAMN51283022,simple,71773,Siphateles bicolor,CARR_LSLK_2006_010_H,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA DAVIS,SRA2220106,,public,1A4D0BA701DB4B2FC7FD2A1057F6D40A,1DB75AE1AC4E880EE7EC4673A4C207FF
